127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /js/global.js HTTP/1.1" 200 4321
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/slide.jpg HTTP/1.1" 200 276588
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/slide2.jpg HTTP/1.1" 200 263947
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/slide3.jpg HTTP/1.1" 200 140707
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/taglio_laser.jpg HTTP/1.1" 200 194576
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/certificato.jpg HTTP/1.1" 200 192136
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quad1.jpg HTTP/1.1" 200 26435
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quad2.jpg HTTP/1.1" 200 29395
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quad3.jpg HTTP/1.1" 200 26880
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quad4.jpg HTTP/1.1" 200 54240
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/logo1.png HTTP/1.1" 200 11389
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/logo2.png HTTP/1.1" 200 23762
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/logo_soluzioni_meccaniche.png HTTP/1.1" 200 18240
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /video/video.mp4 HTTP/1.1" 206 27475378
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/baglio_cent.png HTTP/1.1" 200 126110
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quad.png HTTP/1.1" 200 4034
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/double_color_big.png HTTP/1.1" 200 14239
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/sfuma.png HTTP/1.1" 200 33457
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/quadb.png HTTP/1.1" 200 5421
127.0.0.1 - - [06/Dec/2018:13:21:40 +0100] "GET /images/puntina.png HTTP/1.1" 200 543
